OBJECTID,CT20,Pop_20,PopTot_18U,Pop_SqM,Hu_2020,HU_SqM,CRRALL,Med_HH_Inc,Pov100_20,Pov100Rate,PC_NH_wht,PC_NH_Blk,PC_NH_Asn,PC_Hispani,PC_LessTha,PC_Eng_bel,p_no_intnt,Shape__Are,Shape__Len,park_per1k
1334,408138,6162,3661.0,17832,3181.0,9205,59.7,75200,402.0,6.5238558909445,5.66,0.4,4.78,88.29,31.71,19.07,13.58,9633622.801757809,16153.0593830985,0.011116
1335,408139,4320,3535.0,14264,732.0,2417,58.1,72311,439.0,10.162037037037,1.54,0.21,5.54,92.71,36.38,30.5,7.44,8443284.7109375,13034.3781864643,0.0
1336,408140,3799,2910.0,10779,717.0,2034,60.2,64900,348.0,9.16030534351145,2.06,0.88,8.960000000000004,88.09,33.26,27.08,8.960000000000004,9825439.98144531,13677.9427160119,1.857209
1337,408141,5144,3581.0,11854,1116.0,2572,64.2,83618,168.0,3.26594090202177,1.43,0.73,18.48,79.36,28.34,28.73,7.67,12097475.5029297,17253.0397585769,0.003174
1338,408212,4514,3953.0,4101,1203.0,1093,75.3,67031,297.0,6.57953035002215,8.57,2.47,55.31,32.14,14.77,19.38,5.02,30689587.2490234,22683.8183934755,2.266542
1339,408213,5880,4896.0,9837,1447.0,2421,68.8,73000,509.0,8.65646258503401,3.83,1.69,64.32,26.13,12.79,31.29,5.56,16664039.8232422,21021.5831361982,0.0
1340,408301,6082,5108.0,5796,1359.0,1295,59.6,71639,571.0,9.38835909240381,3.17,0.46,11.24,84.73,31.03,21.5,9.1,29251582.1699219,31005.810902937,7.366213
1341,408302,4058,2692.0,3094,1090.0,831,75.1,88417,153.0,3.77033021192706,6.46,0.0,13.72,78.91,22.66,19.21,10.79,36562956.7382813,32533.1086656922,12.076627
1342,408303,4392,3931.0,5907,1248.0,1678,75.2,106579,146.0,3.32422586520947,8.4,0.99,14.29,76.32,12.62,13.94,5.12,20729970.5224609,27704.6878766526,10.397358
1343,408401,4388,3633.0,9807,1227.0,2742,71.9,83636,342.0,7.79398359161349,9.31,2.87,22.02,64.94,21.39,14.15,7.56,12473307.5722656,17022.3764027657,1.64957
1344,408402,6059,5606.0,1356,1846.0,413,77.3,106810,309.0,5.09985146063707,21.85,0.78,20.78,56.34,10.93,11.79,8.050000000000002,124540848.401367,61470.6098937319,86.176202
1345,408503,6317,5339.0,3892,2014.0,1241,78.1,120330,275.0,4.35333227798005,17.13,2.04,40.4,33.9,5.02,11.95,4.55,45244986.1455078,38515.9773926318,1.721468
1346,408504,5346,4385.0,9765,1629.0,2976,69.5,92500,419.0,7.83763561541339,10.82,0.32,29.93,57.42,16.05,12.34,5.72,15262251.0302734,18598.8561890101,0.0
1347,408505,2716,2015.0,3534,775.0,1009,73.5,116354,284.0,10.4565537555228,13.74,1.27,41.53,42.68,10.87,15.29,1.64,21423470.6025391,22179.9852408482,4.461043
1348,408623,3066,2654.0,8270,1019.0,2748,79.0,72250,170.0,5.54468362687541,12.93,5.46,54.31,24.88,13.07,22.27,7.21,10335916.2119141,13628.9106954873,0.0
1349,408624,3198,2747.0,6005,1020.0,1915,79.5,98571,132.0,4.12757973733583,7.49,0.06,64.97,26.73,9.68,17.66,7.24,14845670.0439453,18484.8589495454,5.283779
1350,408625,4329,2907.0,5218,1347.0,1624,77.7,91898,475.0,10.972510972511,14.71,0.0,52.38,32.15,8.220000000000002,8.5,5.18,23129156.1972656,20580.1421628504,0.0
1351,408626,4370,3374.0,4533,1823.0,1891,67.4,84671,533.0,12.1967963386728,4.9,1.88,74.3,18.46,10.4,25.16,7.97,26875332.347656295,26379.5244140171,35.665363
1352,408627,2816,2453.0,2333,944.0,782,79.0,101490,210.0,7.45738636363636,10.51,1.64,68.05,18.96,9.13,19.45,1.22,33643290.5878906,32269.2489501315,155.252697
1353,408628,5184,4443.0,5691,1934.0,2123,77.7,66975,469.0,9.04706790123457,4.01,0.45,62.26,30.18,8.35,24.38,9.17,25396601.1992188,26498.5768082463,9.651047
1354,408629,3051,2384.0,4457,994.0,1452,76.0,107344,219.0,7.1779744346116,12.96,1.97,59.18,21.1,7.05,14.85,2.07,19082418.023437504,19665.2238719962,0.001493
1355,408631,5027,4218.0,8817,1369.0,2401,75.6,81139,411.0,8.17585040779789,13.39,0.04,37.51,48.76,15.27,13.58,4.26,15895054.4970703,16761.3495672113,2.292908
1356,408703,6027,5117.0,912,1987.0,301,78.7,132583,224.0,3.71660859465738,6.56,0.75,78.84,12.57,7.82,18.94,3.39,184208024.22168,70723.3277155093,20.825035
1357,408705,5372,4788.0,7216,1581.0,2124,77.4,64333,506.0,9.419210722263593,6.83,0.0,76.1,16.03,18.42,37.34,9.06,20753732.408203095,19115.0927949637,0.0
1358,408707,6539,5420.0,3420,2252.0,1178,80.1,118714,145.0,2.2174644441046,9.68,0.89,70.64,12.86,6.99,16.92,4.2,53306769.3476563,38380.0998286313,0.48821
1359,408722,4427,3769.0,5445,1290.0,1587,76.4,103274,314.0,7.0928393946239,11.68,0.02,60.49,22.55,12.34,16.79,2.84,22664852.1689453,21725.987605078895,2.405266
1360,408724,5492,3696.0,26657,1541.0,7480,61.8,44413,974.0,17.7348871085215,2.06,1.0,44.26,52.17,18.97,31.74,8.78,5743580.140625,10137.2742428222,0.0
1361,408725,5942,5285.0,7902,1844.0,2452,69.6,65341,579.0,9.74419387411646,8.2,2.03,59.59,28.31,18.86,27.66,14.43,20962523.9736328,26020.478399386,1.161341
1362,408800,4810,3476.0,6953,1517.0,2193,50.0,40108,1319.0,27.4220374220374,11.23,12.91,5.62,67.07,19.79,18.1,9.75,19285663.4960938,20136.490860873295,0.420978
1363,408900,5843,4980.0,4793,2192.0,1798,81.8,67209,337.0,5.76758514461749,44.64,4.37,9.33,38.02,9.7,6.06,9.6,33986996.3115234,24334.793136254695,1.979066
1364,409000,7046,6207.0,2319,2079.0,684,66.7,62894,1213.0,17.2154413851831,15.36,3.21,8.4,71.42,21.94,15.24,10.95,84699176.6523438,59401.9815016045,2.407421
1365,409100,5232,4327.0,8701,1345.0,2237,69.9,71384,544.0,10.3975535168196,6.94,0.3,26.23,64.37,25.63,23.06,10.35,16764062.4599609,24276.8539682031,0.0
1366,430003,4636,4459.0,1005,1586.0,344,84.0,114654,303.0,6.5358067299396,32.82,3.28,17.73,42.7,7.83,2.65,8.41,128544944.083984,75719.9902858018,4.49578
1367,430004,3667,2225.0,8476,1080.0,2496,69.8,78056,161.0,4.39050995364058,36.27,6.87,20.77,36.08,16.0,6.61,7.21,12061582.8691406,16771.8254124319,0.235165
1368,430005,3818,2854.0,9548,1271.0,3179,74.2,92194,44.0,1.15243583027763,18.0,8.23,18.41,53.57,11.56,11.14,8.44,11147328.7675781,15991.8522099285,2.310827
1369,430101,5017,4100.0,6530,1837.0,2391,65.4,49432,887.0,17.6798883795097,21.28,9.14,16.54,50.47,15.07,8.15,19.0,21417873.5068359,20104.435065861,5.635335
1370,430102,4648,4123.0,9352,1233.0,2481,72.9,82651,300.0,6.45438898450947,11.72,5.08,8.87,72.67,24.4,22.9,13.09,13856061.9609375,19361.7678141888,1.290718
1373,430302,5865,4279.0,7834,2451.0,3274,79.2,93750,354.0,6.03580562659847,56.41,1.25,6.74,24.39,7.15,1.47,6.95,20870341.753906295,23536.0699628063,0.0
1374,430400,4407,3680.0,3170,1537.0,1106,78.3,129750,114.0,2.58679373723622,22.14,2.15,61.1,12.34,5.98,11.66,5.94,38758703.301757805,35132.2652479282,4.777538
1375,430501,4195,3573.0,2307,1773.0,975,76.2,147169,96.0,2.28843861740167,60.9,10.27,16.05,7.58,1.01,1.74,1.87,50690750.7607422,33018.446205535,71.943815
1376,430502,7164,5209.0,6303,3137.0,2760,77.6,79167,507.0,7.07705192629816,62.69,0.49,16.9,16.52,2.78,2.03,7.0,31686189.4199219,25001.297995375,2.945229
1377,430600,4437,3568.0,3105,1510.0,1057,75.0,151850,340.0,7.66283524904215,31.44,1.85,51.71,3.14,5.38,9.67,0.0,39834187.0517578,35198.9635277788,0.658748
1378,430701,5034,4319.0,4359,1921.0,1664,76.0,85536,451.0,8.9590782677791,31.46,1.01,46.45,18.8,3.94,8.91,4.95,32192328.0302734,27315.6839629504,25.148838
1379,430721,3542,2758.0,2242,1309.0,829,73.4,70221,429.0,12.111801242236,23.79,4.43,56.02,14.02,10.51,17.55,11.41,44038550.1875,31686.3384857014,20.734919
1380,430723,4633,3581.0,24671,1846.0,9830,72.5,72268,402.0,8.67688322900928,23.84,0.89,52.57,17.0,2.99,10.28,4.53,5235291.41210938,12934.554071209199,0.0
1381,430724,5252,3569.0,23459,2030.0,9068,69.8,78750,559.0,10.6435643564356,18.25,1.86,59.01,17.26,7.99,15.83,8.99,6241313.444335941,13445.8046208258,0.239134
