OBJECTID,CT20,Pop_20,PopTot_18U,Pop_SqM,Hu_2020,HU_SqM,CRRALL,Med_HH_Inc,Pov100_20,Pov100Rate,PC_NH_wht,PC_NH_Blk,PC_NH_Asn,PC_Hispani,PC_LessTha,PC_Eng_bel,p_no_intnt,Shape__Are,Shape__Len,total,pct_walk,unwalkable,unwalkab_1,unwalkab_2,unwalkab_3,unwalkab_4,unwalkab_5,unwalkab_6,unwalkab_7,unwalkab_8,unwalkab_9,unwalkab10,unwalkab11,unwalkab12,unwalkab13,unwalkab14,unwalkab15,unwalkab16,unwalkab17,unwalkab18,unwalkab19
"27","104321","2945","2536","14674","533","2656",48.100000000000001,"31645","441",14.974533106960900,1.410000000000000,4.160000000000000,0.900000000000000,91.750000000000000,39.670000000000002,35.689999999999998,12.920000000000000,5595200.692382809706032,10641.698445966600048,519858.332200,"84","104321","2945","2536","14674","533","2656",48.100000000000001,"31645","441",14.974533106960900,1.410000000000000,4.160000000000000,0.900000000000000,91.750000000000000,39.670000000000002,35.689999999999998,12.920000000000000,5595200.692382809706032,10641.698445966600048,83235.81915
"28","104322","2148","1500","8037","405","1515",52.399999999999999,"66083","103",4.795158286778400,3.090000000000000,2.440000000000000,1.150000000000000,92.170000000000002,58.399999999999999,44.670000000000002,32.619999999999997,7451302.530273440293968,14607.562844796499121,692311.960800,"37","104322","2148","1500","8037","405","1515",52.399999999999999,"66083","103",4.795158286778400,3.090000000000000,2.440000000000000,1.150000000000000,92.170000000000002,58.399999999999999,44.670000000000002,32.619999999999997,7451302.530273440293968,14607.562844796499121,435225.68145
"29","104401","3023","2257","11496","560","2130",57.000000000000000,"59464","663",21.931855772411499,1.690000000000000,0.670000000000000,1.240000000000000,96.390000000000001,44.659999999999997,34.200000000000003,14.400000000000000,7330831.844726558774710,12432.053450398700079,681117.304800,"84","104401","3023","2257","11496","560","2130",57.000000000000000,"59464","663",21.931855772411499,1.690000000000000,0.670000000000000,1.240000000000000,96.390000000000001,44.659999999999997,34.200000000000003,14.400000000000000,7330831.844726558774710,12432.053450398700079,108946.31960
"30","104403","2950","2138","11025","531","1984",57.299999999999997,"68929","340",11.525423728813600,0.000000000000000,0.000000000000000,4.700000000000000,95.299999999999997,36.810000000000002,28.199999999999999,17.710000000000001,7459610.769531250000000,16071.533403529601856,693080.629400,"46","104403","2950","2138","11025","531","1984",57.299999999999997,"68929","340",11.525423728813600,0.000000000000000,0.000000000000000,4.700000000000000,95.299999999999997,36.810000000000002,28.199999999999999,17.710000000000001,7459610.769531250000000,16071.533403529601856,372459.04191
"31","104404","3082","2593","14794","580","2784",50.200000000000003,"53594","757",24.561972744970799,1.870000000000000,0.000000000000000,2.700000000000000,95.430000000000007,44.930000000000000,29.390000000000001,22.210000000000001,5807918.475585940293968,10935.709463731400319,539620.944800,"28","104404","3082","2593","14794","580","2784",50.200000000000003,"53594","757",24.561972744970799,1.870000000000000,0.000000000000000,2.700000000000000,95.430000000000007,44.930000000000000,29.390000000000001,22.210000000000001,5807918.475585940293968,10935.709463731400319,386576.29452
"32","104500","3153","2086","15380","533","2600",54.200000000000003,"65956","825",26.165556612749800,0.730000000000000,0.030000000000000,0.000000000000000,98.599999999999994,43.289999999999999,33.560000000000002,16.690000000000001,5715190.494140629656613,11300.665192078900873,531004.193300,"41","104500","3153","2086","15380","533","2600",54.200000000000003,"65956","825",26.165556612749800,0.730000000000000,0.030000000000000,0.000000000000000,98.599999999999994,43.289999999999999,33.560000000000002,16.690000000000001,5715190.494140629656613,11300.665192078900873,313473.52829
"33","104610","3665","2526","16032","587","2568",50.100000000000001,"57188","315",8.594815825375170,1.870000000000000,0.000000000000000,0.000000000000000,97.469999999999999,45.649999999999999,36.500000000000000,22.780000000000001,6373155.812500000000000,11599.538066844999776,592137.353500,"31","104610","3665","2526","16032","587","2568",50.100000000000001,"57188","315",8.594815825375170,1.870000000000000,0.000000000000000,0.000000000000000,97.469999999999999,45.649999999999999,36.500000000000000,22.780000000000001,6373155.812500000000000,11599.538066844999776,409163.68892
"34","104620","3202","2742","15614","600","2926",64.700000000000003,"68750","407",12.710805746408500,2.050000000000000,0.280000000000000,0.000000000000000,97.670000000000002,42.850000000000001,33.920000000000002,15.850000000000000,5716992.299804690293968,11300.436611753799298,531171.984000,"48","104620","3202","2742","15614","600","2926",64.700000000000003,"68750","407",12.710805746408500,2.050000000000000,0.280000000000000,0.000000000000000,97.670000000000002,42.850000000000001,33.920000000000002,15.850000000000000,5716992.299804690293968,11300.436611753799298,274646.03210
"35","104701","4615","2717","21714","397","1868",48.100000000000001,"42542","1403",30.400866738894901,1.310000000000000,2.020000000000000,0.330000000000000,95.730000000000004,50.170000000000002,35.219999999999999,26.640000000000001,5925044.870117190293968,11097.877342988900637,550504.158200,"96","104701","4615","2717","21714","397","1868",48.100000000000001,"42542","1403",30.400866738894901,1.310000000000000,2.020000000000000,0.330000000000000,95.730000000000004,50.170000000000002,35.219999999999999,26.640000000000001,5925044.870117190293968,11097.877342988900637,22046.16433
"36","104703","2585","1746","5731","559","1239",49.000000000000000,"42589","546",21.121856866537701,6.430000000000000,7.300000000000000,0.000000000000000,85.640000000000001,38.200000000000003,24.800000000000001,10.119999999999999,12573746.218750001862645,15301.049662650300888,1168240.536000,"64","104703","2585","1746","5731","559","1239",49.000000000000000,"42589","546",21.121856866537701,6.430000000000000,7.300000000000000,0.000000000000000,85.640000000000001,38.200000000000003,24.800000000000001,10.119999999999999,12573746.218750001862645,15301.049662650300888,420017.48022
"37","104704","4721","3058","7353","1169","1821",54.200000000000003,"44647","1380",29.231095106968901,5.720000000000000,8.730000000000000,1.500000000000000,81.409999999999997,28.350000000000001,23.770000000000000,6.370000000000000,17900181.908203098922968,16925.988721268098743,1663128.067000,"97","104704","4721","3058","7353","1169","1821",54.200000000000003,"44647","1380",29.231095106968901,5.720000000000000,8.730000000000000,1.500000000000000,81.409999999999997,28.350000000000001,23.770000000000000,6.370000000000000,17900181.908203098922968,16925.988721268098743,56564.21459
