intersect,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
3.323210,"1","1",3.32321,3.32321,0,3.32321,3.32321,3.32321,0,3.32321,3.32321,3.32321,3.32321,0
0.596043,"1","1",0.596043,0.596043,0,0.596043,0.596043,0.596043,0,0.596043,0.596043,0.596043,0.596043,0
0.002747,"1","1",0.002747,0.002747,0,0.002747,0.002747,0.002747,0,0.002747,0.002747,0.002747,0.002747,0
18.845689,"1","1",18.845689,18.845689,0,18.845689,18.845689,18.845689,0,18.845689,18.845689,18.845689,18.845689,0
10.424640,"1","1",10.42464,10.42464,0,10.42464,10.42464,10.42464,0,10.42464,10.42464,10.42464,10.42464,0
0.005272,"1","1",0.005272,0.005272,0,0.005272,0.005272,0.005272,0,0.005272,0.005272,0.005272,0.005272,0
2.804129,"1","1",2.804129,2.804129,0,2.804129,2.804129,2.804129,0,2.804129,2.804129,2.804129,2.804129,0
9.447780,"1","1",9.44778,9.44778,0,9.44778,9.44778,9.44778,0,9.44778,9.44778,9.44778,9.44778,0
14.597451,"1","1",14.597451,14.597451,0,14.597451,14.597451,14.597451,0,14.597451,14.597451,14.597451,14.597451,0
0.035926,"1","1",0.035926,0.035926,0,0.035926,0.035926,0.035926,0,0.035926,0.035926,0.035926,0.035926,0
10.773262,"1","1",10.773262,10.773262,0,10.773262,10.773262,10.773262,0,10.773262,10.773262,10.773262,10.773262,0
1.360968,"1","1",1.360968,1.360968,0,1.360968,1.360968,1.360968,0,1.360968,1.360968,1.360968,1.360968,0
23.105958,"1","1",23.105958,23.105958,0,23.105958,23.105958,23.105958,0,23.105958,23.105958,23.105958,23.105958,0
0.087272,"1","1",0.087272,0.087272,0,0.087272,0.087272,0.087272,0,0.087272,0.087272,0.087272,0.087272,0
419.543720,"1","1",419.54372,419.54372,0,419.54372,419.54372,419.54372,0,419.54372,419.54372,419.54372,419.54372,0
2.080904,"1","1",2.080904,2.080904,0,2.080904,2.080904,2.080904,0,2.080904,2.080904,2.080904,2.080904,0
4.215726,"1","1",4.215726,4.215726,0,4.215726,4.215726,4.215726,0,4.215726,4.215726,4.215726,4.215726,0
0.065991,"1","1",0.065991,0.065991,0,0.065991,0.065991,0.065991,0,0.065991,0.065991,0.065991,0.065991,0
12.850449,"1","1",12.850449,12.850449,0,12.850449,12.850449,12.850449,0,12.850449,12.850449,12.850449,12.850449,0
10.860132,"1","1",10.860132,10.860132,0,10.860132,10.860132,10.860132,0,10.860132,10.860132,10.860132,10.860132,0
24.183502,"1","1",24.183502,24.183502,0,24.183502,24.183502,24.183502,0,24.183502,24.183502,24.183502,24.183502,0
18.700929,"1","1",18.700929,18.700929,0,18.700929,18.700929,18.700929,0,18.700929,18.700929,18.700929,18.700929,0
6.574370,"1","1",6.57437,6.57437,0,6.57437,6.57437,6.57437,0,6.57437,6.57437,6.57437,6.57437,0
2.567276,"1","1",2.567276,2.567276,0,2.567276,2.567276,2.567276,0,2.567276,2.567276,2.567276,2.567276,0
14.291516,"1","1",14.291516,14.291516,0,14.291516,14.291516,14.291516,0,14.291516,14.291516,14.291516,14.291516,0
106.697840,"1","1",106.69784,106.69784,0,106.69784,106.69784,106.69784,0,106.69784,106.69784,106.69784,106.69784,0
3.749833,"1","1",3.749833,3.749833,0,3.749833,3.749833,3.749833,0,3.749833,3.749833,3.749833,3.749833,0
